St_Father_Monthly_Income,St_Date_of_Birth,AgeYearsIntTrunc,academic_year_name,class_name,section_name,St_Active_Inactive
20000,1999-10-30 00:00:00.000,18,March 2015 - Fabruary 2016,10th,D,A
30000.0,1998-09-05 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
42000.0,1999-04-14 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
40000.0,1999-08-22 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
35000.0,1999-01-08 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
50000.0,1998-03-18 00:00:00.000,20,March 2014 - February 2015,10th,E,A         
20000.0,1999-02-16 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
30000.0,1998-12-14 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
35000.0,1998-12-03 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
30000.0,1999-01-04 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
50000.0,1998-10-20 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
20000.0,1999-02-04 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
40000.0,1998-09-20 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
50000.0,1998-09-10 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
40000.0,2000-01-29 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
20400.0,1999-01-13 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
37200.0,1999-03-14 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
40000.0,1999-09-13 00:00:00.000,18,March 2014 - February 2015,10th,E,A         
25000.0,1998-12-30 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
30000.0,1999-02-10 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
30000.0,2000-07-03 00:00:00.000,17,March 2014 - February 2015,10th,E,A         
21000.0,1998-12-28 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
20000.0,1998-09-07 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
20000.0,1999-03-12 00:00:00.000,19,March 2014 - February 2015,10th,E,A         
25000.0,1998-12-21 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
15000.0,1999-07-10 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
80000.0,2000-12-06 00:00:00.000,17,March 2014 - February 2015,10th,D,A         
30000.0,1999-06-09 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
35000.0,1999-04-06 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
16000.0,1998-12-16 00:00:00.000,19,March 2014 - February 2015,10th,D,A         
20000.0,1999-12-09 00:00:00.000,18,March 2014 - February 2015,10th,D,A         
